//Cycle : #inst 0  pc opcode reg regnum value
       501 :   #224 0 0000002c 00518023 r4=00010036
       502 :   #225 0 00000030 00000205 r23=00000077
       503 :   #226 0 00000032 fe029be3 
       504 :   #227 0 00000028 00020283 
       509 :   #228 0 0000002c 00518023 r4=00010037
       510 :   #229 0 00000030 00000205 r23=00000065
       511 :   #230 0 00000032 fe029be3 
       512 :   #231 0 00000028 00020283 
       517 :   #232 0 0000002c 00518023 r4=00010038
       518 :   #233 0 00000030 00000205 r23=00000052
       519 :   #234 0 00000032 fe029be3 
       520 :   #235 0 00000028 00020283 
       525 :   #236 0 0000002c 00518023 r4=00010039
       526 :   #237 0 00000030 00000205 r23=00000056
       527 :   #238 0 00000032 fe029be3 
       528 :   #239 0 00000028 00020283 
       533 :   #240 0 0000002c 00518023 r4=0001003a
       534 :   #241 0 00000030 00000205 r23=00000020
       535 :   #242 0 00000032 fe029be3 
       536 :   #243 0 00000028 00020283 
       541 :   #244 0 0000002c 00518023 r4=0001003b
       542 :   #245 0 00000030 00000205 r23=00000045
       543 :   #246 0 00000032 fe029be3 
       544 :   #247 0 00000028 00020283 
       549 :   #248 0 0000002c 00518023 r4=0001003c
       550 :   #249 0 00000030 00000205 r23=0000004c
       551 :   #250 0 00000032 fe029be3 
       552 :   #251 0 00000028 00020283 
       557 :   #252 0 0000002c 00518023 r4=0001003d
       558 :   #253 0 00000030 00000205 r23=00000032
       559 :   #254 0 00000032 fe029be3 
       560 :   #255 0 00000028 00020283 
       565 :   #256 0 0000002c 00518023 r4=0001003e
       566 :   #257 0 00000030 00000205 r23=00000020
       567 :   #258 0 00000032 fe029be3 
       568 :   #259 0 00000028 00020283 
       573 :   #260 0 0000002c 00518023 r4=0001003f
       574 :   #261 0 00000030 00000205 r23=00000040
       575 :   #262 0 00000032 fe029be3 
       576 :   #263 0 00000028 00020283 
       581 :   #264 0 0000002c 00518023 r4=00010040
       582 :   #265 0 00000030 00000205 r23=00000057
       583 :   #266 0 00000032 fe029be3 
       584 :   #267 0 00000028 00020283 
       589 :   #268 0 0000002c 00518023 r4=00010041
       590 :   #269 0 00000030 00000205 r23=00000044
       591 :   #270 0 00000032 fe029be3 
       592 :   #271 0 00000028 00020283 
       597 :   #272 0 0000002c 00518023 r4=00010042
       598 :   #273 0 00000030 00000205 r23=00000043
       599 :   #274 0 00000032 fe029be3 
       600 :   #275 0 00000028 00020283 
       605 :   #276 0 0000002c 00518023 r4=00010043
       606 :   #277 0 00000030 00000205 r23=00000020
       607 :   #278 0 00000032 fe029be3 
       608 :   #279 0 00000028 00020283 
       613 :   #280 0 0000002c 00518023 r4=00010044
       614 :   #281 0 00000030 00000205 r23=00000021
       615 :   #282 0 00000032 fe029be3 
       616 :   #283 0 00000028 00020283 
       621 :   #284 0 0000002c 00518023 r4=00010045
       622 :   #285 0 00000030 00000205 r23=00000021
       623 :   #286 0 00000032 fe029be3 
       624 :   #287 0 00000028 00020283 
       629 :   #288 0 0000002c 00518023 r4=00010046
       630 :   #289 0 00000030 00000205 r23=0000000a
       631 :   #290 0 00000032 fe029be3 
       632 :   #291 0 00000028 00020283 
       637 :   #292 0 0000002c 00518023 r4=00010047
       638 :   #293 0 00000030 00000205 r23=0000002d
       639 :   #294 0 00000032 fe029be3 
       640 :   #295 0 00000028 00020283 
       645 :   #296 0 0000002c 00518023 r4=00010048
       646 :   #297 0 00000030 00000205 r23=0000002d
       647 :   #298 0 00000032 fe029be3 
       648 :   #299 0 00000028 00020283 
       653 :   #300 0 0000002c 00518023 r4=00010049
       654 :   #301 0 00000030 00000205 r23=0000002d
       655 :   #302 0 00000032 fe029be3 
       656 :   #303 0 00000028 00020283 
       661 :   #304 0 0000002c 00518023 r4=0001004a
       662 :   #305 0 00000030 00000205 r23=0000002d
       663 :   #306 0 00000032 fe029be3 
       664 :   #307 0 00000028 00020283 
       669 :   #308 0 0000002c 00518023 r4=0001004b
       670 :   #309 0 00000030 00000205 r23=0000002d
       671 :   #310 0 00000032 fe029be3 
       672 :   #311 0 00000028 00020283 
       677 :   #312 0 0000002c 00518023 r4=0001004c
       678 :   #313 0 00000030 00000205 r23=0000002d
       679 :   #314 0 00000032 fe029be3 
       680 :   #315 0 00000028 00020283 
       685 :   #316 0 0000002c 00518023 r4=0001004d
       686 :   #317 0 00000030 00000205 r23=0000002d
       687 :   #318 0 00000032 fe029be3 
       688 :   #319 0 00000028 00020283 
       693 :   #320 0 0000002c 00518023 r4=0001004e
       694 :   #321 0 00000030 00000205 r23=0000002d
       695 :   #322 0 00000032 fe029be3 
       696 :   #323 0 00000028 00020283 
       701 :   #324 0 0000002c 00518023 r4=0001004f
       702 :   #325 0 00000030 00000205 r23=0000002d
       703 :   #326 0 00000032 fe029be3 
       704 :   #327 0 00000028 00020283 
       709 :   #328 0 0000002c 00518023 r4=00010050
       710 :   #329 0 00000030 00000205 r23=0000002d
       711 :   #330 0 00000032 fe029be3 
       712 :   #331 0 00000028 00020283 
       717 :   #332 0 0000002c 00518023 r4=00010051
       718 :   #333 0 00000030 00000205 r23=0000002d
       719 :   #334 0 00000032 fe029be3 
       720 :   #335 0 00000028 00020283 
       725 :   #336 0 0000002c 00518023 r4=00010052
